order_book_id,symbol,eng_symbol,stock_connect,listed_date,de_listed_date,status,round_lot,board_type,selection_date
00001.XHKG,长和,CKH HOLDINGS,"['sh', 'sz']",1972-11-01,0000-00-00,Active,500.0,MainBoard,2026-05-21
00002.XHKG,中电控股,CLP HOLDINGS,"['sh', 'sz']",1980-01-02,0000-00-00,Active,500.0,MainBoard,2026-05-21
00003.XHKG,香港中华煤气,HK & CHINA GAS,"['sh', 'sz']",1960-04-11,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00004.XHKG,九龙仓集团,WHARF HOLDINGS,"['sh', 'sz']",1921-01-01,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00005.XHKG,汇丰控股,HSBC HOLDINGS,"['sh', 'sz']",1980-01-02,0000-00-00,Active,400.0,MainBoard,2026-05-21
00006.XHKG,电能实业,POWER ASSETS,"['sh', 'sz']",1976-08-16,0000-00-00,Active,500.0,MainBoard,2026-05-21
00008.XHKG,电讯盈科,PCCW,"['sh', 'sz']",1994-10-18,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00010.XHKG,恒隆集团,HANG LUNG GROUP,"['sh', 'sz']",1972-10-12,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00012.XHKG,恒基地产,HENDERSON LAND,"['sh', 'sz']",1981-07-23,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00013.XHKG,和黄医药,HUTCHMED,"['sh', 'sz']",2021-06-30,0000-00-00,Active,500.0,MainBoard,2026-05-21
00014.XHKG,希慎兴业,HYSAN DEV,"['sh', 'sz']",1981-09-18,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00016.XHKG,新鸿基地产,SHK PPT,"['sh', 'sz']",1972-09-08,0000-00-00,Active,500.0,MainBoard,2026-05-21
00017.XHKG,新世界发展,NEW WORLD DEV,"['sh', 'sz']",1972-11-23,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00019.XHKG,太古股份公司A,SWIRE PACIFIC A,"['sh', 'sz']",1959-04-14,0000-00-00,Active,500.0,MainBoard,2026-05-21
00020.XHKG,商汤-W,SENSETIME-W,"['sh', 'sz']",2021-12-30,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00023.XHKG,东亚银行,BANK OF E ASIA,"['sh', 'sz']",1921-01-01,0000-00-00,Active,200.0,MainBoard,2026-05-21
00027.XHKG,银河娱乐,GALAXY ENT,"['sh', 'sz']",1991-10-07,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00035.XHKG,远东发展,FE CONSORT INTL,['sz'],1972-09-21,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00038.XHKG,第一拖拉机股份,FIRST TRACTOR,"['sh', 'sz']",1997-06-23,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00041.XHKG,鹰君,GREAT EAGLE H,"['sh', 'sz']",1972-10-26,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00042.XHKG,东北电气,NE ELECTRIC,['sz'],1995-07-06,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00045.XHKG,大酒店,HK&S HOTELS,"['sh', 'sz']",1921-01-01,0000-00-00,Active,500.0,MainBoard,2026-05-21
00059.XHKG,天誉置业,SKYFAME REALTY,['sz'],1993-11-16,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00066.XHKG,港铁公司,MTR CORPORATION,"['sh', 'sz']",2000-10-05,0000-00-00,Active,500.0,MainBoard,2026-05-21
00069.XHKG,香格里拉(亚洲),SHANGRI-LA ASIA,"['sh', 'sz']",1993-06-17,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00078.XHKG,REGALINT'L,REGAL INT'L,['sz'],1980-11-03,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00081.XHKG,中国海外宏洋集团,CH OVS G OCEANS,"['sh', 'sz']",1984-04-26,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00083.XHKG,信和置业,SINO LAND,"['sh', 'sz']",1981-04-08,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00086.XHKG,新鸿基公司,SUN HUNG KAI CO,"['sh', 'sz']",1983-10-03,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00087.XHKG,太古股份公司B,SWIRE PACIFIC B,"['sh', 'sz']",1973-05-01,0000-00-00,Active,2500.0,MainBoard,2026-05-21
00095.XHKG,绿景中国地产,LVGEM CHINA,"['sh', 'sz']",2005-12-02,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00101.XHKG,恒隆地产,HANG LUNG PPT,"['sh', 'sz']",1954-01-01,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00107.XHKG,四川成渝高速公路,SICHUAN EXPRESS,"['sh', 'sz']",1997-10-07,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00116.XHKG,周生生,CHOW SANG SANG,"['sh', 'sz']",1973-04-06,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00119.XHKG,保利置业集团,POLY PROPERTY,"['sh', 'sz']",1973-08-30,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00120.XHKG,COSMOPOLINT'L,COSMOPOL INT'L,"['sh', 'sz']",1989-11-01,0000-00-00,Active,600.0,MainBoard,2026-05-21
00123.XHKG,越秀地产,YUEXIU PROPERTY,"['sh', 'sz']",1992-12-15,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00127.XHKG,华人置业,CHINESE EST H,"['sh', 'sz']",1921-01-01,0000-00-00,Active,500.0,MainBoard,2026-05-21
00135.XHKG,昆仑能源,KUNLUN ENERGY,"['sh', 'sz']",1973-03-13,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00136.XHKG,中国儒意,CHINA RUYI,"['sh', 'sz']",1997-09-25,0000-00-00,Active,4000.0,MainBoard,2026-05-21
00142.XHKG,第一太平,FIRST PACIFIC,"['sh', 'sz']",1988-09-12,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00144.XHKG,招商局港口,CHINA MER PORT,"['sh', 'sz']",1992-07-15,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00148.XHKG,建滔集团,KINGBOARD HLDG,"['sh', 'sz']",1993-10-08,0000-00-00,Active,500.0,MainBoard,2026-05-21
00151.XHKG,中国旺旺,WANT WANT CHINA,"['sh', 'sz']",2008-03-26,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00152.XHKG,深圳国际,SHENZHEN INT'L,"['sh', 'sz']",1972-09-25,0000-00-00,Active,500.0,MainBoard,2026-05-21
00163.XHKG,英皇国际,EMPEROR INT'L,['sz'],1972-11-14,0000-00-00,Active,10000.0,MainBoard,2026-05-21
00165.XHKG,中国光大控股,CHINA EB LTD,"['sh', 'sz']",1973-02-26,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00168.XHKG,青岛啤酒股份,TSINGTAO BREW,"['sh', 'sz']",1993-07-15,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00173.XHKG,嘉华国际,K. WAH INT'L,"['sh', 'sz']",1987-02-06,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00175.XHKG,吉利汽车,GEELY AUTO,"['sh', 'sz']",1973-02-23,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00177.XHKG,江苏宁沪高速公路,JIANGSU EXPRESS,"['sh', 'sz']",1997-06-27,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00178.XHKG,莎莎国际,SA SA INT'L,"['sh', 'sz']",1997-06-13,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00179.XHKG,德昌电机控股,JOHNSON ELEC H,"['sh', 'sz']",1984-07-11,0000-00-00,Active,500.0,MainBoard,2026-05-21
00185.XHKG,正商实业,ZENSUN ENT,"['sh', 'sz']",1972-12-20,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00187.XHKG,京城机电股份,JINGCHENG MAC,"['sh', 'sz']",1993-08-06,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00189.XHKG,东岳集团,DONGYUE GROUP,"['sh', 'sz']",2007-12-10,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00200.XHKG,新濠国际发展,MELCO INT'L DEV,"['sh', 'sz']",1981-08-13,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00215.XHKG,和记电讯香港,HUTCHTEL HK,"['sh', 'sz']",2009-05-08,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00220.XHKG,统一企业中国,U-PRESID CHINA,"['sh', 'sz']",2007-12-17,0000-00-00,Active,1000.0,MainBoard,2026-05-21
00241.XHKG,阿里健康,ALI HEALTH,"['sh', 'sz']",1972-07-06,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00242.XHKG,信德集团,SHUN TAK HOLD,"['sh', 'sz']",1973-01-25,0000-00-00,Active,2000.0,MainBoard,2026-05-21
00245.XHKG,中薇金融,CHINA VERED FIN,"['sh', 'sz']",1972-08-25,0000-00-00,Active,5000.0,MainBoard,2026-05-21
