rank,order_book_id,total_turnover,symbol,eng_symbol,status,listed_date,de_listed_date,stock_connect
1,00011.XHKG,71263588433.0,恒生银行,HANG SENG BANK,Delisted,1972-06-20,2026-01-28,"['sh', 'sz']"
2,00489.XHKG,51041165609.0,东风集团股份,DONGFENG GROUP,Delisted,2005-12-07,2026-03-19,"['sh', 'sz']"
3,01558.XHKG,10660114691.0,东阳光长江药业,HEC CJ PHARM,Delisted,2015-12-29,2025-08-06,"['sh', 'sz']"
4,09956.XHKG,7837488443.0,安能物流,ANE,Delisted,2021-11-11,2026-02-10,"['sh', 'sz']"
5,01821.XHKG,5484357387.0,ESR,ESR,Delisted,2019-11-01,2025-07-04,"['sh', 'sz']"
6,08083.XHKG,5441622282.0,有赞,YOUZAN,Delisted,2000-04-14,2026-04-17,
7,09997.XHKG,5191574249.0,康基医疗,KANGJI MEDICAL,Delisted,2020-06-29,2025-12-10,"['sh', 'sz']"
8,01263.XHKG,3916702276.0,栢能集团,PC PARTNER,Delisted,2012-01-12,2026-01-15,
9,00207.XHKG,2358508334.0,大悦城地产,JOY CITY PPT,Delisted,1973-03-06,2025-11-28,['sh']
10,09666.XHKG,1056497033.0,金科服务,JINKE SERVICES,Delisted,2020-11-17,2026-02-23,"['sh', 'sz']"
11,01381.XHKG,995157719.0,粤丰环保,CANVEST ENV,Delisted,2014-12-29,2025-06-03,"['sh', 'sz']"
12,02217.XHKG,341874209.0,谭仔国际,TAM JAI INTL,Delisted,2021-10-07,2025-08-20,
13,02148.XHKG,298400003.0,VESYNC,VESYNC,Delisted,2020-12-18,2025-05-08,
14,00230.XHKG,288660042.0,五矿地产,MINMETALS LAND,Delisted,1991-12-20,2026-03-04,
15,06638.XHKG,185906692.0,金融壹账通,OCFT,Delisted,2022-07-04,2025-11-24,
16,80011.XHKG,176962679.0,恒生银行-R,HANG SENG BANK-R,Delisted,2023-06-19,2026-01-28,
17,00925.XHKG,127811555.0,北京建设,BJ PROPERTIES,Delisted,1998-01-15,2025-09-01,
18,08476.XHKG,55694838.0,大洋环球控股,OCEAN ONE HLDG,Delisted,2017-10-19,2025-11-03,
19,09977.XHKG,50424940.0,凤祥股份,FENGXIANG CO,Delisted,2020-07-16,2025-08-01,
20,08257.XHKG,40678850.0,靖洋集团,GENES TECH,Delisted,2017-07-14,2026-03-04,
21,00226.XHKG,35264014.0,力宝,LIPPO,Delisted,1973-03-01,2025-09-26,
22,00459.XHKG,32759136.0,鋑联控股,LEGEND UPSTAR,Delisted,2008-08-18,2026-03-31,
23,01730.XHKG,29538837.0,LHN,LHN,Delisted,2017-12-29,2025-11-05,
24,02066.XHKG,23476821.0,盛京银行,SHENGJINGBANK,Delisted,2014-12-29,2025-11-21,"['sh', 'sz']"
25,08353.XHKG,22426959.0,安科系统,ANACLE,Delisted,2016-12-16,2025-06-11,
26,03326.XHKG,15354777.0,保发集团,PERFECT GROUP,Delisted,2016-01-04,2025-11-03,
27,02292.XHKG,1817540.0,晋安实业,THING ON ENT,Delisted,2018-01-16,2025-09-19,
28,00906.XHKG,0.0,中粮包装,COFCO PACKAGING,Delisted,2009-11-16,2025-04-22,"['sh', 'sz']"
29,00589.XHKG,0.0,建中建设,JIANZHONG CONS,Delisted,2020-03-18,2025-10-27,
30,00009.XHKG,0.0,金奥国际,KEYNE LTD,Delisted,2001-09-12,2026-02-02,
31,00102.XHKG,0.0,凯升控股,SUMMIT ASCENT,Delisted,1994-01-10,2025-09-01,
32,02060.XHKG,0.0,浦江国际,PUJIANG INTL,Delisted,2019-05-28,2025-10-27,
33,02019.XHKG,0.0,德信中国,DEXIN CHINA,Delisted,2019-02-26,2026-01-07,"['sh', 'sz']"
34,01922.XHKG,0.0,瑞森生活服务,RUISEN LIFE SER,Delisted,2019-11-06,2026-04-09,
35,01699.XHKG,0.0,普甜食品,PUTIAN FOOD,Delisted,2012-07-13,2025-09-11,
36,01495.XHKG,0.0,集一控股,JIYIHOLDINGS,Delisted,2015-11-06,2026-03-26,
37,01185.XHKG,0.0,中国航天万源,CHINA ENERGINE,Delisted,1997-08-11,2025-11-04,
38,01360.XHKG,0.0,诺发集团,NOVA GROUP,Delisted,2013-11-06,2025-08-07,
39,01383.XHKG,0.0,LETGROUP,LET GROUP,Delisted,2007-02-22,2025-09-01,['sz']
40,01034.XHKG,0.0,富汇国际集团控股,FULLWEALTH,Delisted,2018-10-30,2025-10-15,
41,01189.XHKG,0.0,大湾区聚变力量,GBA DYNAMIC,Delisted,1997-10-06,2026-02-16,
42,00593.XHKG,0.0,梦东方,DREAMEAST,Delisted,1993-07-27,2026-01-27,
43,00663.XHKG,0.0,金山能源,KING STONE ENGY,Delisted,1990-11-30,2026-03-26,
44,00715.XHKG,0.0,中泛控股,CHINA OCEANWIDE,Delisted,1991-07-05,2025-04-24,"['sh', 'sz']"
45,00802.XHKG,0.0,中国钱包,CHINA E-WALLET,Delisted,2009-02-10,2026-03-16,
46,00812.XHKG,0.0,西证国际证券,SWSI,Delisted,2002-01-30,2025-09-29,
47,02708.XHKG,0.0,艾伯科技,IBO TECH,Delisted,2017-12-28,2025-12-08,
48,08063.XHKG,0.0,环球大通集团,GLOBAL M HLDG,Delisted,2000-12-07,2026-03-16,
49,08045.XHKG,0.0,南大苏富特,NANDASOFT,Delisted,2001-04-24,2025-05-08,
50,08001.XHKG,0.0,东方汇财证券,ORIENTSEC INT,Delisted,2014-01-15,2025-11-17,
51,06900.XHKG,0.0,上坤地产,SUNKWAN PPT,Delisted,2020-11-17,2025-10-27,
52,06689.XHKG,0.0,洪九果品,HONGJIU FRUIT,Delisted,2022-09-05,2025-12-30,"['sh', 'sz']"
53,06606.XHKG,0.0,诺辉健康,NH HEALTH,Delisted,2021-02-18,2025-10-27,"['sh', 'sz']"
54,06122.XHKG,0.0,九台农商银行,JIUTAI RCB,Delisted,2017-01-12,2025-11-25,
55,03333.XHKG,0.0,中国恒大,EVERGRANDE,Delisted,2009-11-05,2025-08-25,"['sh', 'sz']"
56,02448.XHKG,0.0,恒宇集团,SPACE GROUP,Delisted,2018-01-16,2026-02-26,
57,08363.XHKG,0.0,SDM教育,SDM EDUCATION,Delisted,2014-10-14,2025-11-04,
58,08167.XHKG,0.0,中国新电信,NEO TELEMEDIA,Delisted,2002-08-06,2025-07-17,
