rank,order_book_id,total_turnover,eng_symbol,abbrev_symbol,board_type,symbol,listed_date,de_listed_date,status,round_lot,a_share_id,exchange,type,trading_code,unique_id,stock_connect,trading_hours,selection_date,rank_window_start,rank_window_end,in_hkconnect_selection_20260506
1,09888.XHKG,38903162410.0,BIDU-SW,BDJTSW,MainBoard,百度集团-SW,2021-03-23,0000-00-00,Active,50.0,,XHKG,CS,09888,09888_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
2,02513.XHKG,31328013584.0,KNOWLEDGE ATLAS,ZP,MainBoard,智谱,2026-01-08,0000-00-00,Active,100.0,,XHKG,CS,02513,02513_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
3,09618.XHKG,28633174623.0,JD-SW,JDJTSW,MainBoard,京东集团-SW,2020-06-18,0000-00-00,Active,50.0,,XHKG,CS,09618,09618_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
4,00100.XHKG,25881816219.0,MINIMAX-W,MINIMAXW,MainBoard,MINIMAX-W,2026-01-09,0000-00-00,Active,20.0,,XHKG,CS,00100,00100_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
5,09999.XHKG,24733114566.0,NTES-S,WYS,MainBoard,网易-S,2020-06-11,0000-00-00,Active,100.0,,XHKG,CS,09999,09999_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
6,09961.XHKG,19582915524.0,TRIP.COM-S,XCJTS,MainBoard,携程集团-S,2021-04-19,0000-00-00,Active,50.0,,XHKG,CS,09961,09961_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
7,01879.XHKG,17118167355.0,XIZHI TECH-P,XZKJP,MainBoard,曦智科技-P,2026-04-28,0000-00-00,Active,15.0,,XHKG,CS,01879,01879_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
8,00068.XHKG,15607521729.0,MANYCORE TECH,MANYCORETECH,MainBoard,MANYCORETECH,2026-04-17,0000-00-00,Active,500.0,,XHKG,CS,00068,00068_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
9,09903.XHKG,13186785221.0,ILUVATAR COREX,TSZX,MainBoard,天数智芯,2026-01-08,0000-00-00,Active,100.0,,XHKG,CS,09903,09903_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
10,06082.XHKG,9742220720.0,BIREN TECH,BRKJ,MainBoard,壁仞科技,2026-01-02,0000-00-00,Active,200.0,,XHKG,CS,06082,06082_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
